"","Longitude","Latitude","Uncertainty","code","Substrate","Understory","Leaf Litter","Tree cover","Canopy"
"1",-71.70803252,10.58634754,14,"A01","2",3,0,4,2
"2",-71.71028558,10.58617442,15,"A02","2",2,0,4,3
"3",-71.7095255,10.58545662,15,"A03","2",2,0,4,1
"4",-71.71035622,10.58641585,16,"A04","2",2,0,4,4
"5",-71.71257312,10.58585217,15,"A05","2",2,0,1,2
"6",-71.70868056,10.58577015,16,"A06","2",2,0,2,3
"7",-71.71062723,10.58647898,15,"A07","4",3,0,4,4
"8",-71.71044021,10.58755954,15,"A08","2",4,3,4,3
"9",-71.70929409,10.58691118,15,"A09","2",3,0,4,2
"10",-71.71077947,10.58532389,15,"A10","2",3,0,4,3
"11",-71.70787539,10.58600071,16,"A11","2",3,0,4,2
"12",-71.71085595,10.58490153,16,"A12","2",2,0,4,2
"13",-71.71019264,10.58597808,15,"A13","2",2,0,4,4
"14",-71.70890328,10.58622721,16,"A14","2",3,0,4,2
"15",-71.70850206,10.58697695,14,"A15","2",3,0,4,2
"16",-71.71089821,10.58820684,15,"B01","1",3,0,4,3
"17",-71.70846336,10.58678201,25,"B02","2",2,0,4,3
"19",-71.71103,10.58511,13,"B04","1",1,1,4,3
"20",-71.7115874,10.58644305,13,"B05","1",3,1,4,3
"21",-71.71001828,10.58670856,13,"B06","1",3,1,4,4
"22",-71.70935374,10.58587189,13,"B07","2",2,0,4,3
"23",-71.71221,10.58483,13,"B08","1",1,1,4,4
"24",-71.71179589,10.58505278,13,"B09","1",1,1,4,4
"25",-71.70931907,10.5877315,13,"B10","1",2,1,4,3
"26",-71.70867579,10.58653217,13,"B11","2",2,0,4,3
"27",-71.70908865,10.58724365,13,"B12","1",2,0,4,3
"28",-71.71107,10.58593,13,"B13","1",3,1,4,3
"29",-71.70937416,10.58587861,13,"B14","2",2,0,4,3
"30",-71.70866725,10.58591067,13,"B15","1",1,2,1,4
"46",-71.71058622,10.58742694,16,"D01","2",3,0,4,3
"47",-71.71000515,10.58501651,15,"D02","2",1,1,4,3
"48",-71.70986762,10.58722582,15,"D03","2",3,0,4,3
"49",-71.71080321,10.58702128,15,"D04","2",2,0,4,4
"50",-71.71127314,10.58611743,15,"D05","2",1,1,3,4
"51",-71.70924628,10.58788252,15,"D06","4*",2,0,4,3
"52",-71.71018306,10.58808,15,"D07","2",3,0,4,3
"53",-71.7082487,10.58509659,15,"D08","1",3,0,1,3
"54",-71.70940628,10.58634199,15,"D09","2",1,1,2,3
"55",-71.71025194,10.58800166,15,"D10","2",3,0,4,3
"56",-71.70958713,10.5873122,16,"D11","2",3,0,4,3
"57",-71.70846495,10.58525735,15,"D12","1",3,0,1,3
"58",-71.70966707,10.58491949,16,"D13","1",2,0,4,3
"59",-71.71120376,10.58583431,15,"D14","2",1,1,3,4
"60",-71.71048071,10.58710796,15,"D15","2",2,0,4,3
"61",-71.71188035,10.58616007,19,"E01","2",3,0,1,3
"62",-71.70911306,10.58693331,22,"E02","2",3,1,1,3
"63",-71.70915025,10.58627399,18,"E03","2",1,1,3,3
"64",-71.70781579,10.58534267,19,"E04","2",1,0,2,3
"65",-71.70846462,10.58694102,15,"E05","2",3,1,4,3
"66",-71.71016257,10.58481445,15,"E06","2",1,0,3,3
"67",-71.7079412,10.5863455,15,"E07","2",3,1,1,3
"68",-71.7108984,10.58694739,17,"E08","2",2,0,4,4
"69",-71.71162486,10.58598433,17,"E09","2",1,0,2,3
"70",-71.70973213,10.58585238,15,"E10","2",3,0,2,3
"71",-71.71091407,10.58574494,16,"E11","2",1,1,2,3
"72",-71.71022075,10.58479445,16,"E12","2",1,0,3,3
"73",-71.7095015,10.5874713,16,"E13","2",3,0,1,3
"74",-71.70775408,10.58525911,19,"E14","2",3,0,2,3
"75",-71.70944843,10.58650194,15,"E15","4",1,1,2,3
"76",-71.7109558,10.58676604,14,"F01","2",2,1,1,3
"77",-71.71015173,10.58607952,13,"F02","2",4,0,4,4
"78",-71.70962502,10.58708938,14,"F03","2",3,3,2,1
"79",-71.7106038,10.58593433,14,"F04","2",3,1,4,3
"80",-71.70987759,10.58756266,13,"F05","2",3,3,4,2
"81",-71.7089856,10.58528263,14,"F06","2",1,0,2,3
"82",-71.71060482,10.5878088,15,"F07","3",3,0,4,2
"83",-71.71088443,10.58801638,15,"F08","3",3,0,2,2
"84",-71.70996533,10.58698629,13,"F09","2",4,0,4,4
"85",-71.70957574,10.58585971,14,"F10","2",3,0,4,3
"86",-71.71094233,10.58756033,14,"F11","3",2,0,4,4
"87",-71.71009214,10.5852426,15,"F12","3",3,1,2,2
"88",-71.70970419,10.58693375,13,"F13","2",3,0,4,1
"89",-71.71057802,10.58805338,14,"F14","2",3,2,4,1
"90",-71.71077424,10.58679809,13,"F15","2",1,0,4,4
